0.07	16
0.08	107
0.09	781
0.1	3337
0.11	11047
0.12	28684
0.13	64391
0.14	121648
0.15	194185
0.16	269516
0.17	311110
0.18	311163
0.19	283059
0.2	242666
0.21	198524
0.22	161682
0.23	132224
0.24	107794
0.25	87948
0.26	71283
0.27	58191
0.28	47510
0.29	38448
0.3	31025
0.31	25347
0.32	20747
0.33	16656
0.34	13378
0.35	10797
0.36	8545
0.37	6825
0.38	5452
0.39	4237
0.4	3325
0.41	2630
0.42	1966
0.43	1535
0.44	1140
0.45	906
0.46	712
0.47	519
0.48	399
0.49	308
0.5	257
0.51	169
0.52	137
0.53	113
0.54	100
0.55	67
0.56	49
0.57	54
0.58	42
0.59	48
0.6	35
0.61	32
0.62	27
0.63	25
0.64	23
0.65	21
0.66	12
0.67	18
0.68	12
0.69	12
0.7	13
0.71	8
0.72	10
0.73	10
0.74	6
0.75	4
0.76	3
0.77	4
0.78	1
0.98	1
1	1
1.02	1
