1	27819
2	10388
3	4053
4	3275
5	1952
6	1606
7	1212
8	991
9	843
10	699
11	568
12	446
13	354
14	333
15	216
16	226
17	143
18	139
19	91
20	76
21	25
22	14
23	21
24	7
25	17
26	10
27	3
28	1
